round,target_x,target_y,target_size,spawn_time,click_time,reaction_time,result,score,difficulty,session_id,mode,combo,target_type
1,963.5,108.0,30,13.902,15.025,1123.0,hit,0,Normal,20260421_214651,Practice,0,moving
1,923.0,138.0,30,15.934,16.907,973.0,hit,0,Normal,20260421_214651,Practice,0,normal
1,523.0,266.0,30,17.823,18.296,473.0,hit,0,Normal,20260421_214651,Practice,0,normal
1,668.0,361.0,30,19.205,19.953,748.0,hit,0,Normal,20260421_214651,Practice,0,normal
2,953.0,198.0,22,27.523,28.637,1114.0,hit,1,Normal,20260421_214651,Speed,1,normal
2,760.0,98.0,22,29.243,30.169,926.0,hit,3,Normal,20260421_214651,Speed,2,normal
2,776.0,622.0,22,30.776,31.673,897.0,hit,6,Normal,20260421_214651,Speed,3,normal
2,516.0,416.0,22,32.284,32.864,580.0,hit,10,Normal,20260421_214651,Speed,4,normal
2,577.0,111.0,22,33.479,34.186,707.0,hit,15,Normal,20260421_214651,Speed,5,normal
2,807.0,662.6,22,34.797,1776782846.299,,miss,15,Normal,20260421_214651,Speed,0,moving
2,808.0,543.0,22,36.721,37.433,712.0,hit,16,Normal,20260421_214651,Speed,1,normal
2,791.0,318.0,22,38.044,38.867,823.0,hit,18,Normal,20260421_214651,Speed,2,normal
2,392.0,401.0,22,39.479,40.173,694.0,hit,21,Normal,20260421_214651,Speed,3,normal
2,68.0,383.0,22,40.779,41.62,841.0,hit,25,Normal,20260421_214651,Speed,4,normal
3,264.0,577.0,45,58.156,58.94,784.0,hit,1,Easy,20260421_214651,Classic,1,normal
3,701.9,199.3,45,60.145,60.894,749.0,hit,5,Easy,20260421_214651,Classic,2,moving
3,700.0,146.0,45,62.095,62.933,838.0,hit,8,Easy,20260421_214651,Classic,3,normal
3,239.0,456.0,45,64.139,64.899,760.0,hit,12,Easy,20260421_214651,Classic,4,normal
3,228.0,414.0,45,66.103,66.767,664.0,hit,17,Easy,20260421_214651,Classic,5,normal
3,696.0,568.0,45,67.97,68.593,623.0,hit,22,Easy,20260421_214651,Classic,5,normal
3,769.4,162.2,45,69.795,70.556,761.0,hit,32,Easy,20260421_214651,Classic,5,moving
3,88.0,218.0,45,71.759,72.627,868.0,hit,37,Easy,20260421_214651,Classic,5,normal
3,268.0,235.0,45,73.83,74.527,697.0,hit,42,Easy,20260421_214651,Classic,5,normal
3,435.0,253.0,45,75.731,76.338,607.0,hit,47,Easy,20260421_214651,Classic,5,normal
3,872.0,476.0,45,77.54,78.443,903.0,hit,52,Easy,20260421_214651,Classic,5,normal
3,673.0,269.0,45,79.649,80.26,611.0,hit,57,Easy,20260421_214651,Classic,5,normal
3,91.0,148.0,45,81.47,82.591,1121.0,hit,62,Easy,20260421_214651,Classic,5,normal
3,382.0,538.0,45,83.799,84.71,911.0,hit,67,Easy,20260421_214651,Classic,5,normal
3,895.0,248.0,45,85.914,86.689,775.0,hit,72,Easy,20260421_214651,Classic,5,normal
1,201.0,504.0,45,2.625,3.486,861.0,hit,1,Easy,20260421_215142,Classic,1,normal
1,532.0,396.0,45,4.699,5.178,479.0,hit,3,Easy,20260421_215142,Classic,2,normal
1,607.8,528.4,45,6.379,7.01,631.0,hit,9,Easy,20260421_215142,Classic,3,moving
1,502.0,344.9,45,8.215,9.07,855.0,hit,11,Easy,20260421_215142,Classic,1,moving
1,625.0,585.0,45,10.28,11.1,820.0,hit,12,Easy,20260421_215142,Classic,1,normal
1,431.0,335.0,45,12.303,12.761,,bomb,10,Easy,20260421_215142,Classic,0,bomb
1,608.0,594.0,45,13.969,14.643,674.0,hit,11,Easy,20260421_215142,Classic,1,normal
1,738.0,400.0,45,15.856,16.515,659.0,hit,13,Easy,20260421_215142,Classic,2,normal
1,166.0,271.0,45,17.725,18.5,775.0,hit,16,Easy,20260421_215142,Classic,3,normal
1,934.0,509.0,45,19.705,20.395,690.0,hit,20,Easy,20260421_215142,Classic,4,normal
1,251.1,597.3,45,21.605,22.385,780.0,hit,30,Easy,20260421_215142,Classic,5,moving
1,451.0,456.0,45,23.587,24.277,690.0,hit,35,Easy,20260421_215142,Classic,5,normal
1,53.6,306.7,45,25.484,26.238,754.0,hit,45,Easy,20260421_215142,Classic,5,moving
1,798.0,507.0,45,27.451,28.061,610.0,hit,50,Easy,20260421_215142,Classic,5,normal
1,71.0,268.0,45,29.264,30.015,751.0,hit,55,Easy,20260421_215142,Classic,5,normal
1,318.0,214.0,45,31.225,32.142,917.0,hit,60,Easy,20260421_215142,Classic,5,normal
2,796.0,481.0,45,94.378,95.262,884.0,hit,1,Easy,20260421_215142,Classic,1,normal
2,299.0,482.0,45,96.475,97.019,544.0,hit,3,Easy,20260421_215142,Classic,2,normal
2,557.0,606.0,45,98.219,98.652,433.0,hit,6,Easy,20260421_215142,Classic,3,normal
2,169.0,149.0,45,99.861,100.848,987.0,hit,10,Easy,20260421_215142,Classic,4,normal
2,337.1,134.0,45,102.057,102.647,590.0,hit,20,Easy,20260421_215142,Classic,5,moving
2,612.0,216.0,45,103.853,104.382,529.0,hit,30,Easy,20260421_215142,Classic,5,moving
2,206.0,483.6,45,105.588,106.258,670.0,hit,40,Easy,20260421_215142,Classic,5,moving
2,783.6,597.3,45,107.464,108.02,556.0,hit,50,Easy,20260421_215142,Classic,5,moving
2,230.0,540.0,33,109.232,110.137,905.0,hit,65,Easy,20260421_215142,Classic,5,golden
2,785.0,493.0,33,111.338,111.93,592.0,hit,80,Easy,20260421_215142,Classic,5,golden
2,364.0,365.0,45,113.132,113.708,576.0,hit,85,Easy,20260421_215142,Classic,5,normal
2,71.8,333.4,45,114.921,115.63,709.0,hit,95,Easy,20260421_215142,Classic,5,moving
2,605.0,289.0,45,116.835,117.377,542.0,hit,100,Easy,20260421_215142,Classic,5,normal
2,485.0,218.0,45,118.579,119.074,,bomb,98,Easy,20260421_215142,Classic,0,bomb
2,766.0,183.0,45,120.274,120.899,625.0,hit,99,Easy,20260421_215142,Classic,1,normal
2,656.0,144.0,45,122.101,122.726,625.0,hit,101,Easy,20260421_215142,Classic,2,normal
1,461.8,673.2,30,55.928,1776831292.309,,miss,0,Normal,20260422_111354,Endurance,0,moving
1,143.0,160.0,30,58.843,59.886,1043.0,hit,1,Normal,20260422_111354,Endurance,1,normal
1,672.0,119.0,30,60.801,61.974,1173.0,hit,3,Normal,20260422_111354,Endurance,2,normal
1,586.0,310.0,30,62.886,63.65,764.0,hit,6,Normal,20260422_111354,Endurance,3,normal
1,928.0,313.0,30,64.563,65.535,972.0,hit,10,Normal,20260422_111354,Endurance,4,normal
1,830.0,139.0,30,29.314,30.471,1157.0,hit,1,Normal,20260422_111514,Classic,1,normal
1,209.0,105.0,30,31.381,32.303,922.0,hit,3,Normal,20260422_111514,Classic,2,normal
1,895.0,656.0,30,33.215,34.638,1423.0,hit,6,Normal,20260422_111514,Classic,3,normal
1,71.0,339.0,30,35.553,1776831351.342,,miss,6,Normal,20260422_111514,Classic,0,normal
